project,model,experiment,member,variable,version
CMIP6,FGOALS-g3,ssp245,r1i1p1f1,tas,"v20190818,v20190819"
CMIP6,FGOALS-g3,ssp370,r1i1p1f1,tas,v20190820
CMIP6,FGOALS-g3,ssp585,r1i1p1f1,tas,v20190819
CMIP6,GFDL-CM4,historical,r1i1p1f1,tas,v20180701
CMIP6,GFDL-CM4,ssp245,r1i1p1f1,tas,v20180701
CMIP6,GFDL-CM4,ssp585,r1i1p1f1,tas,v20180701
CMIP6,GFDL-ESM4,historical,r1i1p1f1,tas,v20190726
CMIP6,GFDL-ESM4,ssp126,r1i1p1f1,tas,v20180701
CMIP6,GFDL-ESM4,ssp245,r1i1p1f1,tas,v20180701
CMIP6,GFDL-ESM4,ssp370,r1i1p1f1,tas,v20180701
CMIP6,GFDL-ESM4,ssp585,r1i1p1f1,tas,v20180701
CMIP6,HadGEM3-GC31-LL,historical,r1i1p1f3,tas,v20190624
CMIP6,HadGEM3-GC31-LL,ssp126,r1i1p1f3,tas,v20200114
CMIP6,HadGEM3-GC31-LL,ssp245,r1i1p1f3,tas,v20190908
CMIP6,HadGEM3-GC31-LL,ssp585,r1i1p1f3,tas,v20200114
CMIP6,IITM-ESM,historical,r1i1p1f1,tas,v20191226
CMIP6,IITM-ESM,ssp126,r1i1p1f1,tas,v20201112
CMIP6,IITM-ESM,ssp245,r1i1p1f1,tas,v20200915
CMIP6,IITM-ESM,ssp370,r1i1p1f1,tas,v20200915
CMIP6,IITM-ESM,ssp585,r1i1p1f1,tas,v20200915
CMIP6,INM-CM4-8,historical,r1i1p1f1,tas,v20190530
CMIP6,INM-CM4-8,ssp126,r1i1p1f1,tas,v20190603
CMIP6,INM-CM4-8,ssp245,r1i1p1f1,tas,v20190603
CMIP6,INM-CM4-8,ssp370,r1i1p1f1,tas,v20190603
CMIP6,INM-CM4-8,ssp585,r1i1p1f1,tas,v20190603
CMIP6,INM-CM5-0,historical,r1i1p1f1,tas,v20190610
CMIP6,INM-CM5-0,ssp126,r1i1p1f1,tas,v20190619
CMIP6,INM-CM5-0,ssp245,r1i1p1f1,tas,v20190619
CMIP6,INM-CM5-0,ssp370,r1i1p1f1,tas,v20190618
